,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Justin Bieber,Holy - Acoustic,0.532,0.566,6,-6.511,1,0.0467,0.706,0,0.161,0.576,79.927,audio_features,6gcQJ6W4H89xkQFm63gcsB,spotify:track:6gcQJ6W4H89xkQFm63gcsB,https://api.spotify.com/v1/tracks/6gcQJ6W4H89xkQFm63gcsB,https://api.spotify.com/v1/audio-analysis/6gcQJ6W4H89xkQFm63gcsB,205816,4
1,Faouzia,You Don't Even Know Me,0.577,0.663,6,-4.788,0,0.0374,0.244,7.66e-05,0.0795,0.338,165.938,audio_features,4wk9RMAmnUqFdgpBjplA4g,spotify:track:4wk9RMAmnUqFdgpBjplA4g,https://api.spotify.com/v1/tracks/4wk9RMAmnUqFdgpBjplA4g,https://api.spotify.com/v1/audio-analysis/4wk9RMAmnUqFdgpBjplA4g,179397,4
2,Faouzia,This Mountain,0.675,0.93,11,-3.131,0,0.069,0.215,0,0.0638,0.595,129.965,audio_features,0NYJUJaDCvrkMQQt4WSrVU,spotify:track:0NYJUJaDCvrkMQQt4WSrVU,https://api.spotify.com/v1/tracks/0NYJUJaDCvrkMQQt4WSrVU,https://api.spotify.com/v1/audio-analysis/0NYJUJaDCvrkMQQt4WSrVU,142259,4
3,Faouzia,Tears of Gold,0.587,0.664,5,-5.698,0,0.0523,0.128,0,0.323,0.617,149.957,audio_features,2YyLNljkMy2viVcXoFGTDY,spotify:track:2YyLNljkMy2viVcXoFGTDY,https://api.spotify.com/v1/tracks/2YyLNljkMy2viVcXoFGTDY,https://api.spotify.com/v1/audio-analysis/2YyLNljkMy2viVcXoFGTDY,176118,4
4,Alessia Cara,Out Of Love,0.481,0.267,7,-9.249,1,0.0339,0.8,0,0.249,0.137,117.64,audio_features,4WzhjxvLP95y7AMDy0Atwb,spotify:track:4WzhjxvLP95y7AMDy0Atwb,https://api.spotify.com/v1/tracks/4WzhjxvLP95y7AMDy0Atwb,https://api.spotify.com/v1/audio-analysis/4WzhjxvLP95y7AMDy0Atwb,227693,3
5,Sam Smith,I'm Not The Only One,0.688,0.474,5,-5.894,1,0.0344,0.49,4.48e-06,0.0846,0.482,81.976,audio_features,4JHkidVQCWtXwrzjdh5tbM,spotify:track:4JHkidVQCWtXwrzjdh5tbM,https://api.spotify.com/v1/tracks/4JHkidVQCWtXwrzjdh5tbM,https://api.spotify.com/v1/audio-analysis/4JHkidVQCWtXwrzjdh5tbM,239317,4
6,Haley Reinhart,Can't Help Falling in Love,0.41,0.0485,0,-13.918,1,0.038,0.947,0,0.108,0.247,137.97,audio_features,6yIHGmQLJxWAUZ1ZkENemN,spotify:track:6yIHGmQLJxWAUZ1ZkENemN,https://api.spotify.com/v1/tracks/6yIHGmQLJxWAUZ1ZkENemN,https://api.spotify.com/v1/audio-analysis/6yIHGmQLJxWAUZ1ZkENemN,173175,4
7,Lewis Capaldi,Before You Go,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,audio_features,2gMXnyrvIjhVBUZwvLZDMP,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,https://api.spotify.com/v1/tracks/2gMXnyrvIjhVBUZwvLZDMP,https://api.spotify.com/v1/audio-analysis/2gMXnyrvIjhVBUZwvLZDMP,215107,4
8,Lewis Capaldi,Hold Me While You Wait,0.688,0.53,11,-5.507,1,0.0333,0.443,0,0.0995,0.162,106.958,audio_features,60iSKGrGazRzICtMjADNSM,spotify:track:60iSKGrGazRzICtMjADNSM,https://api.spotify.com/v1/tracks/60iSKGrGazRzICtMjADNSM,https://api.spotify.com/v1/audio-analysis/60iSKGrGazRzICtMjADNSM,205687,4
9,Lewis Capaldi,Grace,0.722,0.565,4,-5.848,1,0.0335,0.435,0,0.165,0.488,104.488,audio_features,4zDjXT3joiU5Xrg1Bo3623,spotify:track:4zDjXT3joiU5Xrg1Bo3623,https://api.spotify.com/v1/tracks/4zDjXT3joiU5Xrg1Bo3623,https://api.spotify.com/v1/audio-analysis/4zDjXT3joiU5Xrg1Bo3623,185653,4
10,Lewis Capaldi,Maybe,0.673,0.652,4,-5.552,1,0.0461,0.666,0,0.27,0.332,97.009,audio_features,6ekzaErm5a1JZcQKj1lXAA,spotify:track:6ekzaErm5a1JZcQKj1lXAA,https://api.spotify.com/v1/tracks/6ekzaErm5a1JZcQKj1lXAA,https://api.spotify.com/v1/audio-analysis/6ekzaErm5a1JZcQKj1lXAA,210333,4
11,Lewis Capaldi,Forever,0.644,0.355,1,-7.126,1,0.0262,0.866,0,0.115,0.391,84.999,audio_features,5ZF6BpIQZ08CybU5vnwSFq,spotify:track:5ZF6BpIQZ08CybU5vnwSFq,https://api.spotify.com/v1/tracks/5ZF6BpIQZ08CybU5vnwSFq,https://api.spotify.com/v1/audio-analysis/5ZF6BpIQZ08CybU5vnwSFq,210600,4
12,Lewis Capaldi,One,0.691,0.352,9,-7.136,1,0.0428,0.82,0,0.145,0.429,118.102,audio_features,67xoaMhFu7ZfgzrsCwJYAi,spotify:track:67xoaMhFu7ZfgzrsCwJYAi,https://api.spotify.com/v1/tracks/67xoaMhFu7ZfgzrsCwJYAi,https://api.spotify.com/v1/audio-analysis/67xoaMhFu7ZfgzrsCwJYAi,180173,4
13,Lewis Capaldi,Don't Get Me Wrong,0.447,0.321,4,-7.853,1,0.044,0.826,0,0.108,0.14,67.615,audio_features,1zhHn56H5hCPop18Brf4fz,spotify:track:1zhHn56H5hCPop18Brf4fz,https://api.spotify.com/v1/tracks/1zhHn56H5hCPop18Brf4fz,https://api.spotify.com/v1/audio-analysis/1zhHn56H5hCPop18Brf4fz,213093,5
14,Lewis Capaldi,Leaving My Love Behind,0.409,0.446,2,-4.836,1,0.0317,0.65,0,0.0862,0.135,75.638,audio_features,1NxHgM5nOnmqi3KUVLbaIw,spotify:track:1NxHgM5nOnmqi3KUVLbaIw,https://api.spotify.com/v1/tracks/1NxHgM5nOnmqi3KUVLbaIw,https://api.spotify.com/v1/audio-analysis/1NxHgM5nOnmqi3KUVLbaIw,210213,4
15,Lewis Capaldi,Before You Go - Piano Version,0.467,0.359,3,-6.892,1,0.0815,0.843,0,0.0913,0.21,173.318,audio_features,7slfeXbuzr9RYXX6XS6Npi,spotify:track:7slfeXbuzr9RYXX6XS6Npi,https://api.spotify.com/v1/tracks/7slfeXbuzr9RYXX6XS6Npi,https://api.spotify.com/v1/audio-analysis/7slfeXbuzr9RYXX6XS6Npi,218769,3
16,James Arthur,Falling Like The Stars,0.552,0.347,6,-9.542,1,0.0303,0.79,2.15e-06,0.111,0.173,113.809,audio_features,395KzBy0bkb57dEvg6cfzJ,spotify:track:395KzBy0bkb57dEvg6cfzJ,https://api.spotify.com/v1/tracks/395KzBy0bkb57dEvg6cfzJ,https://api.spotify.com/v1/audio-analysis/395KzBy0bkb57dEvg6cfzJ,211653,4
17,Anson Seabra,Welcome to Wonderland,0.703,0.179,4,-10.906,1,0.0366,0.949,0,0.102,0.346,97.427,audio_features,3JfHYZKy5JmE5Fv4gDTCiz,spotify:track:3JfHYZKy5JmE5Fv4gDTCiz,https://api.spotify.com/v1/tracks/3JfHYZKy5JmE5Fv4gDTCiz,https://api.spotify.com/v1/audio-analysis/3JfHYZKy5JmE5Fv4gDTCiz,199131,3
18,Sam Fischer,This City,0.605,0.377,11,-6.213,1,0.0443,0.733,0,0.0808,0.519,73.877,audio_features,3H3r2nKWa3Yk5gt8xgmsEt,spotify:track:3H3r2nKWa3Yk5gt8xgmsEt,https://api.spotify.com/v1/tracks/3H3r2nKWa3Yk5gt8xgmsEt,https://api.spotify.com/v1/audio-analysis/3H3r2nKWa3Yk5gt8xgmsEt,194853,4
19,Sam Smith,Too Good At Goodbyes,0.681,0.372,5,-8.237,1,0.0432,0.64,0,0.169,0.476,91.873,audio_features,3VlbOrM6nYPprVvzBZllE5,spotify:track:3VlbOrM6nYPprVvzBZllE5,https://api.spotify.com/v1/tracks/3VlbOrM6nYPprVvzBZllE5,https://api.spotify.com/v1/audio-analysis/3VlbOrM6nYPprVvzBZllE5,201000,4
20,Jon Bellion,Conversations with my Wife - Acoustic,0.412,0.308,6,-8.148,1,0.0365,0.89,0,0.0844,0.439,124.256,audio_features,0EvkKZkNeH8Ss87xH7Z0iM,spotify:track:0EvkKZkNeH8Ss87xH7Z0iM,https://api.spotify.com/v1/tracks/0EvkKZkNeH8Ss87xH7Z0iM,https://api.spotify.com/v1/audio-analysis/0EvkKZkNeH8Ss87xH7Z0iM,234938,4
21,Jon Bellion,Blu - Acoustic,0.424,0.296,0,-9.154,1,0.0453,0.761,4.49e-06,0.262,0.233,149.954,audio_features,2e7SEPyhuReSD8n9E1QOEq,spotify:track:2e7SEPyhuReSD8n9E1QOEq,https://api.spotify.com/v1/tracks/2e7SEPyhuReSD8n9E1QOEq,https://api.spotify.com/v1/audio-analysis/2e7SEPyhuReSD8n9E1QOEq,180531,4
22,Jon Bellion,Stupid Deep - Acoustic,0.248,0.265,2,-7.812,1,0.0345,0.758,0,0.091,0.266,166.838,audio_features,23LIOXAz6QSzgPYH4dmZL7,spotify:track:23LIOXAz6QSzgPYH4dmZL7,https://api.spotify.com/v1/tracks/23LIOXAz6QSzgPYH4dmZL7,https://api.spotify.com/v1/audio-analysis/23LIOXAz6QSzgPYH4dmZL7,159594,4
23,Jon Bellion,Run Wild - Acoustic,0.801,0.621,7,-9.694,1,0.29,0.802,0,0.338,0.823,99.056,audio_features,2yJooWoSPyQf42aLVIApXu,spotify:track:2yJooWoSPyQf42aLVIApXu,https://api.spotify.com/v1/tracks/2yJooWoSPyQf42aLVIApXu,https://api.spotify.com/v1/audio-analysis/2yJooWoSPyQf42aLVIApXu,188365,4
24,Jon Bellion,Woke The F*ck Up - Acoustic,0.522,0.203,6,-11.553,1,0.0456,0.947,5.73e-06,0.0977,0.228,96.79,audio_features,7ocpW0qgXkvsc2OhKCDc0q,spotify:track:7ocpW0qgXkvsc2OhKCDc0q,https://api.spotify.com/v1/tracks/7ocpW0qgXkvsc2OhKCDc0q,https://api.spotify.com/v1/audio-analysis/7ocpW0qgXkvsc2OhKCDc0q,208123,4
25,Jon Bellion,All Time Low - Acoustic,0.449,0.528,9,-8.956,0,0.191,0.786,1.33e-06,0.231,0.729,98.403,audio_features,6HHJxsLsk7clcPOaNEZfqW,spotify:track:6HHJxsLsk7clcPOaNEZfqW,https://api.spotify.com/v1/tracks/6HHJxsLsk7clcPOaNEZfqW,https://api.spotify.com/v1/audio-analysis/6HHJxsLsk7clcPOaNEZfqW,222702,3
26,Jon Bellion,Human - Acoustic,0.48,0.127,6,-15.996,1,0.217,0.892,0,0.173,0.324,182.389,audio_features,2WU4ET9r25IVZGQkWOM2UL,spotify:track:2WU4ET9r25IVZGQkWOM2UL,https://api.spotify.com/v1/tracks/2WU4ET9r25IVZGQkWOM2UL,https://api.spotify.com/v1/audio-analysis/2WU4ET9r25IVZGQkWOM2UL,247839,4
27,Dan + Shay,Speechless,0.616,0.438,1,-5.968,1,0.0298,0.356,0,0.24,0.386,135.929,audio_features,3GJ4hzg4lrGwU51Y3VARbF,spotify:track:3GJ4hzg4lrGwU51Y3VARbF,https://api.spotify.com/v1/tracks/3GJ4hzg4lrGwU51Y3VARbF,https://api.spotify.com/v1/audio-analysis/3GJ4hzg4lrGwU51Y3VARbF,213387,4
28,NF,Lost In The Moment,0.511,0.629,0,-7.755,1,0.151,0.41,0,0.162,0.0442,129.924,audio_features,3qEg6xYffvuvwpq4U6FRrK,spotify:track:3qEg6xYffvuvwpq4U6FRrK,https://api.spotify.com/v1/tracks/3qEg6xYffvuvwpq4U6FRrK,https://api.spotify.com/v1/audio-analysis/3qEg6xYffvuvwpq4U6FRrK,242680,4
29,Anson Seabra,That's Us,0.535,0.115,10,-15.097,1,0.0526,0.969,6.17e-06,0.175,0.253,129.117,audio_features,2QDMQcbiWYlyuLa9wFnnBX,spotify:track:2QDMQcbiWYlyuLa9wFnnBX,https://api.spotify.com/v1/tracks/2QDMQcbiWYlyuLa9wFnnBX,https://api.spotify.com/v1/audio-analysis/2QDMQcbiWYlyuLa9wFnnBX,270462,4
30,Harry Styles,"Sunflower, Vol. 6",0.566,0.846,7,-6.904,0,0.035,0.000564,0.000795,0.121,0.86,160.02,audio_features,6iYMfxznTBlcVOgRHab2W0,spotify:track:6iYMfxznTBlcVOgRHab2W0,https://api.spotify.com/v1/tracks/6iYMfxznTBlcVOgRHab2W0,https://api.spotify.com/v1/audio-analysis/6iYMfxznTBlcVOgRHab2W0,221827,4
31,Alicia Keys,Good Job,0.41,0.374,8,-5.933,1,0.0372,0.956,0.000565,0.0895,0.395,179.315,audio_features,3H68NURFkJOaG0woWCK2sL,spotify:track:3H68NURFkJOaG0woWCK2sL,https://api.spotify.com/v1/tracks/3H68NURFkJOaG0woWCK2sL,https://api.spotify.com/v1/audio-analysis/3H68NURFkJOaG0woWCK2sL,230519,3
32,Sam Smith,Lay Me Down,0.468,0.19,4,-11.138,1,0.0373,0.919,0,0.107,0.326,125.319,audio_features,64GRDrL1efgXclrhVCeuA0,spotify:track:64GRDrL1efgXclrhVCeuA0,https://api.spotify.com/v1/tracks/64GRDrL1efgXclrhVCeuA0,https://api.spotify.com/v1/audio-analysis/64GRDrL1efgXclrhVCeuA0,219536,4
33,The Fray,How to Save a Life,0.64,0.743,10,-4.08,1,0.0379,0.269,0,0.101,0.361,122.035,audio_features,5fVZC9GiM4e8vu99W0Xf6J,spotify:track:5fVZC9GiM4e8vu99W0Xf6J,https://api.spotify.com/v1/tracks/5fVZC9GiM4e8vu99W0Xf6J,https://api.spotify.com/v1/audio-analysis/5fVZC9GiM4e8vu99W0Xf6J,262533,4
34,A Great Big World,Say Something,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,audio_features,5TvE3pk05pyFIGdSY9j4DJ,spotify:track:5TvE3pk05pyFIGdSY9j4DJ,https://api.spotify.com/v1/tracks/5TvE3pk05pyFIGdSY9j4DJ,https://api.spotify.com/v1/audio-analysis/5TvE3pk05pyFIGdSY9j4DJ,229400,3
35,Dean Lewis,Lose My Mind - Acoustic,0.515,0.201,8,-10.866,1,0.0569,0.939,1.29e-06,0.0889,0.228,74.21,audio_features,1AvTywVswvftxfT8iYTuxr,spotify:track:1AvTywVswvftxfT8iYTuxr,https://api.spotify.com/v1/tracks/1AvTywVswvftxfT8iYTuxr,https://api.spotify.com/v1/audio-analysis/1AvTywVswvftxfT8iYTuxr,193628,4
